0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,h,m,cSmythii,m,h,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,b,h,m,m,m,m,m,m,h,h,h,h,h,h,b,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,b,b,h,h,h,m,m,h,h,m,h,h,h,h,h,m,m,b,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,b,h,cGauss,h,h,h,h,h,h,h,h,h,h,h,h,m,m,h,h,b,b,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,b,h,h,h,h,h,h,h,h,h,h,h,h,h,m,cBalmer,h,h,m,m,cAustrale,m,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,b,h,h,h,h,h,m,m,m,h,m,h,h,h,h,h,h,h,h,h,h,h,m,b,b,b,b,b,b,b,,,,,,
b,b,b,b,b,m,m,h,h,h,h,h,m,m,m,h,m,m,h,h,h,h,h,h,h,m,m,m,h,m,b,b,b,b,b,,,,,,
b,b,b,b,h,m,m,h,m,m,h,m,ccMare Crisium,ccMare Crisium,m,h,m,h,m,m,h,h,m,m,h,h,h,m,h,m,b,b,b,b,b,,,,,,
b,b,b,b,cHayn,m,m,h,h,h,h,h,ccMare Crisium,ccMare Crisium,ccMare Crisium,m,h,h,m,m,m,m,h,h,h,h,h,h,m,h,cHelmholtz,b,b,b,b,,,,,,
b,b,b,h,h,h,m,h,h,h,m,h,ccMare Crisium,ccMare Crisium,m,h,m,cMessier,m,m,m,m,h,h,h,h,h,h,h,h,h,b,b,b,b,,,,,,
b,b,b,h,h,h,h,h,m,h,h,h,m,m,m,h,m,m,m,m,m,h,h,h,h,m,h,h,h,h,h,h,b,b,b,,,,,,
b,b,h,m,h,m,h,m,h,h,h,a,h,h,h,h,m,m,m,a,a,a,h,h,h,h,h,cBiela,h,h,h,h,b,b,b,,,,,,
b,b,h,m,h,m,m,h,m,h,m,a,a,m,m,m,m,h,h,h,ccMare Nectaris,ccMare Nectaris,h,h,h,h,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,h,h,m,m,m,m,m,h,h,m,h,m,m,m,h,h,ccMare Nectaris,ccMare Nectaris,ccMare Nectaris,h,h,h,h,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,h,h,m,m,h,m,h,m,m,h,h,m,m,m,m,m,m,ccMare Nectaris,ccMare Nectaris,h,a,h,h,h,h,m,h,h,h,h,h,b,,,,,,
b,h,h,h,h,m,h,m,m,h,m,m,m,m,m,m,cTranquility Base,h,m,h,m,h,a,m,h,h,h,h,h,h,h,h,h,b,b,,,,,,
b,h,h,m,h,m,m,h,h,h,m,m,m,m,m,m,m,h,h,a,h,a,a,h,h,h,h,h,h,h,h,h,h,h,b,,,,,,
