city,load,price,city,load,price,city,load,price
Alma Ata,Paper,25,Ankara,Amber,26,Kiyev,Tractors,11
Astrakhan,Olives,9,Kobenhavn,Cars,16,Bayrut,Amber,36
Perm,Caviar,19,Yekaterinburg,Tractors,15,Sevastopol,Cars,20
Tehran,Salt,9,Sofiya,Bauxite,9,Ufa,Tractors,14
Krasnoyarsk,Gold,25,Tehran,Bauxite,42,Baku,Machinery,14
Ufa,Fruit,22,Wien,Tobacco,11,Ankara,Olives,11
Stockholm,Cotton,40,Kabul,Steel,34,Krasnoyarsk,Salt,42
Chelyabinsk,Wheat,23,Athinai,Bauxite,19,Kobenhavn,Machinery,27
Athinai,Wheat,25,Moskva,Salt,35,Ufa,Fish,21
Volgograd,Steel,18,Praha,Terrorists,35,Wien,Gold,42
Tehran,Rice,22,Baghdad,Salt,19,Rostov,Amber,16
Bucuresti,Salt,42,Tabriz,Cars,30,Alma Ata,Bauxite,48
Nizhniy Novgorad,Fruit,23,Krasnoyarsk,Cotton,30,Yekaterinburg,Tobacco,37
Berlin,Rugs,23,Odessa,Ships,19,Ufa,Caviar,15
Bucuresti,Furs,31,Krasnoyarsk,Cheese,55,Yerevan,Tractors,13
Wien,Oil,12,Yekaterinburg,Amber,29,Rostov,Steel,16
Sofiya,Terrorists,19,Istanbul,Wheat,19,Arkhangelsk,Ships,10
Kabul,Rice,10,Mashad,Sheep,22,Shashe,Cheese,74
Sevastotpol,Furs,34,Baku,Paper,35,Minsk,Olives,24
Ankara,Wine,14,Baghdad,Ships,36,Odessa,Rice,44
Yekaterinburg,Vodka,15,Berlin,Machinery,22,Bucuresti,Glass,13
Baghdad,Fruit,11,Kharkov,Cars,10,Odessa,Coal,8
Tashkent,Amber,52,Arkhangelsk,Cotton,33,Bayrut,Horses,50
Budapest,Furs,32,Sofiya,Horses,65,Moskva,Wood,11
Rostov,Terrorists,20,T'bilisi,Paper,34,Munchen,Rice,67
Helsinki,Rugs,34,Baghdad,Wheat,36,Novasibirsk,Cheese,51
Tallinn,Cotton,27,Praha,Oil,9,Alma Ata,Gold,25
Kharkov,Ships,12,Bayrut,Wood,16,Baghdad,Rugs,20
Kiyev,Copper,9,St Peterburg,Rice,43,Stockholm,Terrorists,56
Ufa,Bauxite,22,Sevastopol,Caviar,19,Sofiya,Rice,50
Moskva,Copper,14,St Peterburg,Sheep,31,Volgograd,Cars,12
Novasibirsk,Rice,27,Baku,Amber,32,Vilnius,Terrorists,36
Yekaterinburg,Cheese,34,Tashkent,Wheat,8,Sofiya,Caviar,25
Stockholm,Horses,84,Berlin,Gold,40,Odessa,Tractors,8
Kiyev,Ships,12,Kobenhavn,Glass,14,Helsinki,Fruit,30
St Peterburg,Wheat,19,Bucuresti,Cheese,24,Omsk,Rugs,32
Istanbul,Bauxite,12,Minsk,Rice,47,Novasibirsk,Olives,49
Sevastotpol,Wine,19,Astrakhan,Horses,34,Ankara,Cars,22
Mashad,Coal,13,Krasnoyarsk,Vodka,8,Kiyev,Salt,41
Odessa,Paper,23,Chelyabinsk,Caviar,20,Bucuresti,Terrorists,21
Yerevan,Sheep,13,Alma Ata,Steel,41,Shashe,Cotton,10
Volgograd,Paper,22,Novasibirsk,Coal,18,Nizhniy Novgorad,Wine,24
Kabul,Textiles,15,Berlin,Cheese,12,Perm,Paper,24
Helsinki,Horses,73,Kabul,Gold,35,Krasnoyarsk,Cattle,33
Helsinki,Amber,14,Tashkent,Fruit,9,St Peterburg,Vodka,38
Sofiya,Ships,23,Tabriz,Tractors,16,Kabul,Cotton,10
Moskva,Sheep,24,Chelyabinsk,Olives,29,Omsk,Vodka,8
Krasnoyarsk,Fruit,42,Mashad,Tobacco,41,Praha,Olives,20
Budapest,Salt,53,Kabul,Bauxite,55,Warsawa,Tractors,20
Riga,Machinery,11,Kabul,Cheese,69,St Peterburg,Caviar,23
Sevastotpol,Copper,8,Astrakhan,Cotton,20,Alma Ata,Cars,37
Perm,Amber,24,Sevastopol,Machinery,8,St Peterburg,Steel,36
Kiyev,Steel,24,Arkhangelsk,Potatoes,16,Kharkov,Horses,47
Helsinki,Steel,45,Samara,Textiles,12,Rostov,Salt,30
Budapest,Rice,59,Berlin,Vodka,56,Samara,Bauxite,16
Perm,Cars,8,Wien,Horses,79,Munchen,Fish,18
Tashkent,Caviar,25,Vilnius,Tobacco,14,Munchen,Steel,45
Stockholm,Rice,69,Kobenhavn,Vodka,63,Astrakhan,Cars,15
Novasibirsk,Caviar,37,Samara,Rice,27,Athinai,Machinery,29
Nizhniy Novgorad,Paper,18,Warsawa,Machinery,15,St Peterburg,Gold,24
Novasibirsk,Potatoes,42,Yekaterinburg,Furs,19,Munchen,Cheese,17
Budapest,Olives,15,T'bilisi,Textiles,11,Helsinki,Rice,58
Vilnius,Rugs,20,Athinai,Steel,33,Kharkov,Fruit,14
Samara,Fish,16,Kharkov,Rugs,16,Baku,Ships,25
Yerevan,Bauxite,32,Krasnoyarsk,Olives,57,Novasibirsk,Paper,8
Kabul,Wood,37,Arkhangelsk,Wine,32,Ankara,Oil,10
Nizhniy Novgorad,Cheese,22,Volgograd,Furs,26,Moskva,Olives,26
Omsk,Oil,14,Wien,Amber,12,Tashkent,Gold,26
Perm,Vodka,21,St Peterburg,Oil,16,Yerevan,Ships,26
Baku,Gold,28,Stockholm,Wine,26,Omsk,Caviar,28
Vilnius,Salt,47,Omsk,Wine,36,Perm,Bauxite,18
Arkhangelsk,Rice,41,Chelyabinsk,Wine,27,Munchen,Gold,43
Kabul,Salt,11,Praha,Rugs,18,Novasibirsk,Tobacco,53
Athinai,Wood,10,Kharkov,Salt,33,Yerevan,Textiles,10
Baghdad,Paper,47,Rostov,Gold,27,Riga,Furs,18
Tallinn,Sheep,31,T'bilisi,Cotton,19,Wien,Steel,42
Chelyabinsk,Glass,39,Yekaterinburg,Rice,26,Wien,Cattle,12
