City,Load,Load,Load,Load,
Alma Ata,Oil,Sheep,Textiles,Wheat,
Ankara,Coal,Fruit,Sheep,,
Arkhangelsk,Furs,,,,
Astrakhan,Caviar,,,,
Athinai,Olives,Tobacco,,,
Baghdad,Oil,Textiles,,,
Baku,Caviar,Fish,Oil,,
Bayrut,Terrorists,,,,
Berlin,Potatoes,,,,
Bucuresti,Oil,Tobacco,Wood,,
Budapest,Bauxite,,,,
Chelyabinsk,Coal,Copper,,,
Helsinki,Paper,Ships,Wood,,
Istanbul,Copper,Cotton,Rugs,Textiles,
Kabul,Fruit,Rugs,,,
Kharkov,,,,,
Kiyev,,,,,
Kobenhavn,Oil,Ships,,,
Krasnoyarsk,Furs,Paper,,,
Mashad,Rugs,Salt,,,
Minsk,Potatoes,,,,
Moskva,Cars,Machinery,Textiles,,
Munchen,Cars,,,,
Nizhniy Novgorad,Cars,Ships,,,
Novasibirsk,Tractors,Vodka,Wood,,
Odessa,Fish,Fruit,,,
Omsk,,,,,
Perm,,,,,
Praha,Coal,Glass,Wheat,,
Riga,,,,,
Rostov,Machinery,Tractors,,,
Samara,,,,,
Sevastopol,,,,,
Shashe,Cattle,Horses,Sheep,,
Sofiya,Cattle,Coal,Fruit,,
St Peterburg,Bauxite,Fish,Ships,,
Stockholm,Cheese,Copper,Potatoes,Wood,
T'bilisi,Fruit,Wine,Wood,,
Tabriz,Fish,Steel,,,
Tallinn,Ships,Wood,,,
Tashkent,Coal,Copper,Cotton,Oil,Rice
Tehran,Oil,Textiles,,,
Ufa,Machinery,Oil,,,
Wien,Wine,,,,
Vilnius,Amber,Cattle,,,
Volgograd,Machinery,Tractors,,,
Warszawa,Potatoes,,,,
Yekaterinburg,Gold,,,,
Yerevan,Copper,Olive,,,
